Size,vC,Memory,Network Bandwidth
Standard_NC144ds_xl_RTXPRO6000BSE_v6,144,96,90000
Standard_NC288ds_xl_RTXPRO6000BSE_v6,288,192,180000
Standard_NC24lds_xl_RTXPRO6000BSE_v6,24,24,22500
Standard_NC36lds_xl_RTXPRO6000BSE_v6,36,24,22500
Standard_NC72lds_xl_RTXPRO6000BSE_v6,72,48,45000
Standard_NC144lds_xl_RTXPRO6000BSE_v6,144,96,90000
Standard_NC288lds_xl_RTXPRO6000BSE_v6,288,192,180000
Standard_D2nds_v6,2,8,25000
Standard_D4nds_v6,4,16,30000
Standard_D8nds_v6,8,32,40000
Standard_D16nds_v6,16,64,50000
Standard_D32nds_v6,32,128,50000
Standard_D48nds_v6,48,192,75000
Standard_D64nds_v6,64,256,100000
Standard_D96nds_v6,96,384,150000
Standard_D128nds_v6,128,512,200000
Standard_D2nlds_v6,2,4,25000
Standard_D4nlds_v6,4,8,30000
Standard_D8nlds_v6,8,16,40000
Standard_D16nlds_v6,16,32,50000
Standard_D32nlds_v6,32,64,50000
Standard_D48nlds_v6,48,96,75000
Standard_D64nlds_v6,64,128,100000
Standard_D96nlds_v6,96,192,150000
Standard_D128nlds_v6,128,256,200000
Standard_D2nls_v6,2,4,25000
Standard_D4nls_v6,4,8,30000
Standard_D8nls_v6,8,16,40000
Standard_D16nls_v6,16,32,50000
Standard_D32nls_v6,32,64,50000
Standard_D48nls_v6,48,96,75000
Standard_D64nls_v6,64,128,100000
Standard_D96nls_v6,96,192,150000
Standard_D128nls_v6,128,256,200000
Standard_D2ns_v6,2,8,25000
Standard_D4ns_v6,4,16,30000
Standard_D8ns_v6,8,32,40000
Standard_D16ns_v6,16,64,50000
Standard_D32ns_v6,32,128,50000
Standard_D48ns_v6,48,192,75000
Standard_D64ns_v6,64,256,100000
Standard_D96ns_v6,96,384,150000
Standard_D128ns_v6,128,512,200000
Standard_E2ads_v5,2,16,12500
Standard_E4ads_v5,4,32,12500
Standard_E8ads_v5,8,64,12500
Standard_E16ads_v5,16,128,12500
Standard_E20ads_v5,20,160,12500
Standard_E32ads_v5,32,256,16000
Standard_E48ads_v5,48,384,24000
Standard_E64ads_v5,64,512,32000
Standard_E96ads_v5,96,672,40000
Standard_E112iads_v5,112,672,50000
Standard_E2ads_v6,2,16,12500
Standard_E4ads_v6,4,32,12500
Standard_E8ads_v6,8,64,12500
Standard_E16ads_v6,16,128,16000
Standard_E20ads_v6,20,160,16000
Standard_E32ads_v6,32,256,20000
Standard_E48ads_v6,48,384,28000
Standard_E64ads_v6,64,512,36000
Standard_E96ads_v6,96,672,40000
Standard_E2ads_v7,2,16,16000
Standard_E4ads_v7,4,32,16000
Standard_E8ads_v7,8,64,25000
Standard_E16ads_v7,16,128,25000
Standard_E32ads_v7,32,256,25000
Standard_E48ads_v7,48,384,35000
Standard_E64ads_v7,64,512,45000
Standard_E96ads_v7,96,768,70000
Standard_E128ads_v7,128,1024,75000
Standard_E160ads_v7,160,1280,80000
Standard_E2as_v4,2,16,2000
Standard_E4as_v4,4,32,4000
Standard_E8as_v4,8,64,8000
Standard_E16as_v4,16,128,10000
Standard_E20as_v4,20,160,12000
Standard_E32as_v4,32,256,16000
Standard_E48as_v4,48,384,24000
Standard_E64as_v4,64,512,32000
Standard_E96as_v4,96,672,32000
Standard_E2as_v5,2,16,12500
Standard_E4as_v5,4,32,12500
Standard_E8as_v5,8,64,12500
Standard_E16as_v5,16,128,12500
Standard_E20as_v5,20,160,12500
Standard_E32as_v5,32,256,16000
Standard_E48as_v5,48,384,24000
Standard_E64as_v5,64,512,32000
Standard_E96as_v5,96,672,40000
Standard_E112ias_v5,112,672,50000
Standard_E2as_v6,2,16,12500
Standard_E4as_v6,4,32,12500
Standard_E8as_v6,8,64,12500
Standard_E16as_v6,16,128,16000
Standard_E20as_v6,20,160,16000
Standard_E32as_v6,32,256,20000
Standard_E48as_v6,48,384,28000
Standard_E64as_v6,64,512,36000
Standard_E96as_v6,96,672,40000
Standard_E2as_v7,2,16,16000
Standard_E4as_v7,4,32,16000
Standard_E8as_v7,8,64,25000
Standard_E16as_v7,16,128,25000
Standard_E32as_v7,32,256,25000
Standard_E48as_v7,48,384,35000
Standard_E64as_v7,64,512,45000
Standard_E96as_v7,96,768,70000
Standard_E128as_v7,128,1024,75000
Standard_E160as_v7,160,1280,80000
Standard_E2a_v4,2,16,2000
Standard_E4a_v4,4,32,4000
Standard_E8a_v4,8,64,8000
Standard_E16a_v4,16,128,10000
Standard_E20a_v4,20,160,12000
Standard_E32a_v4,32,256,16000
Standard_E48a_v4,48,384,24000
Standard_E64a_v4,64,512,32000
Standard_E96a_v4,96,672,32000
Standard_E2bds_v6,2,16,12500
Standard_E4bds_v6,4,32,12500
Standard_E8bds_v6,8,64,12500
Standard_E16bds_v6,16,128,12500
Standard_E32bds_v6,32,256,16000
Standard_E48bds_v6,48,384,24000
Standard_E64bds_v6,64,512,30000
Standard_E96bds_v6,96,768,41000
Standard_E128bds_v6,128,1024,54000
Standard_E192ibds_v6,192,1832,200000
Standard_E2bs_v6,2,16,12500
Standard_E4bs_v6,4,32,12500
Standard_E8bs_v6,8,64,12500
Standard_E16bs_v6,16,128,12500
Standard_E32bs_v6,32,256,16000
Standard_E48bs_v6,48,384,24000
Standard_E64bs_v6,64,512,30000
Standard_E96bs_v6,96,768,41000
Standard_E128bs_v6,128,1024,54000
Standard_E192ibs_v6,192,1832,200000
Standard_EC2ads_v6,2,16,12500
Standard_EC4ads_v6,4,32,12500
Standard_EC8ads_v6,8,64,12500
Standard_EC16ads_v6,16,128,12500
Standard_EC32ads_v6,32,256,16000
Standard_EC48ads_v6,48,384,24000
Standard_EC64ads_v6,64,512,30000
Standard_EC96ads_v6,96,672,34000
Standard_EC2as_v6,2,16,12500
Standard_EC4as_v6,4,32,12500
Standard_EC8as_v6,8,64,12500
Standard_EC16as_v6,16,128,12500
Standard_EC32as_v6,32,256,16000
Standard_EC48as_v6,48,384,24000
Standard_EC64as_v6,64,512,30000
Standard_EC96as_v6,96,672,34000
Standard_E2ds_v4,2,16,5000
Standard_E4ds_v4,4,32,10000
Standard_E8ds_v4,8,64,12500
Standard_E16ds_v4,16,128,12500
Standard_E20ds_v4,20,160,16000
Standard_E32ds_v4,32,256,16000
Standard_E48ds_v4,48,384,24000
Standard_E64ds_v4,64,504,30000
Standard_E80ids_v4,80,504,30000
Standard_E2ds_v5,2,16,12500
Standard_E4ds_v5,4,32,12500
Standard_E8ds_v5,8,64,12500
Standard_E16ds_v5,16,128,12500
Standard_E20ds_v5,20,160,12500
Standard_E32ds_v5,32,256,16000
Standard_E48ds_v5,48,384,24000
Standard_E64ds_v5,64,512,30000
Standard_E96ds_v5,96,672,35000
Standard_E104ids_v5,104,672,100000
Standard_E2ds_v6,2,16,12500
Standard_E4ds_v6,4,32,12500
Standard_E8ds_v6,8,64,12500
Standard_E16ds_v6,16,128,12500
Standard_E20ds_v6,20,160,12500
