"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"C7GN Eight Extra Large","c7gn.8xlarge","64.0 GiB","32 vCPUs","EBS only","100 Gigabit","$1.9968 hourly","$1.2580 hourly","$0.3209 hourly","unavailable","unavailable"
"D3 Quadruple Extra Large","d3.4xlarge","128.0 GiB","16 vCPUs","23760 GB                 (12 * 1980 GB NVMe HDD)","Up to 15 Gigabit","$1.9980 hourly","$1.2590 hourly","$0.2263 hourly","$2.7340 hourly","$1.9950 hourly"
"M4 General Purpose Deca Extra Large","m4.10xlarge","160.0 GiB","40 vCPUs","EBS only","10 Gigabit","$2.0000 hourly","$1.2390 hourly","$0.3008 hourly","$3.8400 hourly","$3.0790 hourly"
"R5 Eight Extra Large","r5.8xlarge","256.0 GiB","32 vCPUs","EBS only","10 Gigabit","$2.0160 hourly","$1.2700 hourly","$0.6504 hourly","$3.4880 hourly","$2.7420 hourly"
"R6I Eight Extra Large","r6i.8xlarge","256.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$2.0160 hourly","$1.3336 hourly","$0.7785 hourly","$3.4880 hourly","$2.8056 hourly"
"C5 High-CPU 12xlarge","c5.12xlarge","96.0 GiB","48 vCPUs","EBS only","12 Gigabit","$2.0400 hourly","$1.2850 hourly","$0.8187 hourly","$4.2480 hourly","$3.4930 hourly"
"C6I 12xlarge","c6i.12xlarge","96.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$2.0400 hourly","$1.3495 hourly","$0.6810 hourly","$4.2480 hourly","$3.5575 hourly"
"M5A 12xlarge","m5a.12xlarge","192.0 GiB","48 vCPUs","EBS only","10 Gigabit","$2.0640 hourly","$1.3000 hourly","$0.3217 hourly","$4.2720 hourly","$3.5080 hourly"
"C5AD 12xlarge","c5ad.12xlarge","96.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","$2.0640 hourly","$1.3000 hourly","$0.5827 hourly","$4.2720 hourly","$3.5080 hourly"
"C6GN 12xlarge","c6gn.12xlarge","96.0 GiB","48 vCPUs","EBS only","75 Gigabit","$2.0736 hourly","$1.3088 hourly","$0.6125 hourly","unavailable","unavailable"
